Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C68",0603,4,100n,
"C10, C28, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41",0201,12,1u,
"C100, C101, C102, C106, C107, C108, C109, C112, C51, C52, C53, C54, C55, C56, C59",0603,15,22u,
"C103, C110, C73, C91, C92, C93, C95, C96, C97",0603,9,1u,
"C104, C111, C58, C71, C72, C89, C90, C98, C99",0603,9,10u,
C105,0603,1,22p,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C45, C46, C47, C48, C49, C50, C7",0201,24,100n,
"C3, C4, C6",0603,3,4.7u,
"C30, C31, C42, C43, C44",0402,5,22u,
C57,0603,1,10,
C60,0603,1,220u,
"C61, C62",0603,2,2.2p,
"C63, C64",0603,2,8.2p,
C65,0603,1,2.2u,
"C66, C67",0603,2,330p,
C69,0603,1,10p,
C70,0603,1,10n,
C8,0201,1,4.7u,
C9,0201,1,2.2n,
C94,0603,1,^22u,
D1,SOD2513X117N,1,BAT60JFILM,
"D10, D11, D12, D13, D3, D4, D5, D6, D7, D8, D9",ESDALC6V11U2,11,ESDALC6V1-1U2,
D2,ESDA25P351U1M,1,ESDA25P35-1U1M,
"FL1, FL2, FL3, FL4",ECMF240A100N6,4,ECMF2-40A100N6,
IC10,BGA6C40P2X3_80X120X50,1,TPS62088YFPT,
IC11,SOT230P700X190-4N,1,LD1117S50TR,
"IC13, IC3, IC6",SOT65P210X110-5N,3,ESDALC6V1W5,
IC2,QFN50P400X400X80-21N-D,1,TCPP03-M20,
IC5,BGA24C100P5X5_600X800X120,1,MX25UM51245GXDI00-TR,
IC7,LD56100DPU18R,1,LD56100DPU18R,
"IC8, IC9",SON65P300X300X100-9N-D,2,ST1S31PUR,
J1,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
J2,PinHeader_2x10_P2.54mm_Horizontal,1,Conn_02x10_Odd_Even,
J3,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J4,12401826E412A,1,12401826E412A,
"J5, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J7,217345922,1,2-1734592-2,
J8,PJ102B,1,PJ-102B,
L1,0603,1,FBMJ1608HM180NTR,
L2,0805,1,74479276168,
L3,0603,1,LQW18AN2N2D10D,
"L4, L5",INDPM4040X250N,2,74404043022A,
L6,1286ASH1R0MP2,1,DFE201612P-R24M=P2,
"LED1, LED2, LED6",KGEELP4122PHRH35A8J820R18,3,KG_EELP41.22-PHRH-35-A8J8-20-R18,
"LED3, LED5",LEDC2012X40N,2,LS_R976-NR-1,
LED4,LEDC1608X40N,1,LB_Q39G-L2OO-35-1,
Q1,SOTFL50P160X80-3N,1,SI1062X-T1-GE3,
"Q2, Q5",STL40DN3LLH5,2,STL40DN3LLH5,
"Q3, Q4",SOT95P240X120-3N,2,BSR14,
"R1, R2, R20, R27, R32, R41, R42, R5",0603,8,10k,
R10,0603,1,160k,
R11,0603,1,422k,
R12,0603,1,150k,
R13,0603,1,1M,
"R14, R15",0603,2,50m,
"R16, R50",0603,2,330m,
R17,0603,1,820,
"R18, R19",0603,2,1.5k,
"R21, R26, R35",0603,3,100k,
"R22, R52, R55",0603,3,24k,
"R23, R25",0603,2,1.3M,
"R24, R33",0603,2,22m,
"R28, R34",0603,2,47k,
R29,0603,1,22k,
R3,0402,1,0,
R30,0603,1,270,
R31,0603,1,140k,
"R36, R37",0603,2,200,
"R38, R39, R40, R56, R57",0603,5,330,
"R45, R47, R48, R58, R6, R60, R61, R62, R63, R64, R65, R66, R9",0603,13,0,
R49,0603,1,750m,
R51,0603,1,75k,
R53,0603,1,560,
R54,0603,1,30k,
R7,0402,1,50m,
"S1, S2",KSC721JLFS,2,KSC721J_LFS,
U1,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,1,LD39020ADTPU33R,
U2,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,1,LD39020ADTPU18R,
U3,SOT-223-3_TabPin2,1,LD1117S33TR,
U4,BGA264C80P17X17_1400X1400X100,1,STM32N657X0H3Q,
Y2,ABM12W300000MHZ6B1UT3,1,ABM12W-48.0000MHZ-7-D1X-T3,
Y3,CM7V32768TBQA020,1,CM7V-T1A-32.768KHZ-6PF-20PPM-TA-QC,
