Designator,Mid X,Mid Y,Rotation,Layer
C1,231.975,-111.3,0.0,bottom
C10,211.7,-96.2,270.0,bottom
C100,213.4,-84.9,90.0,top
C101,194.4,-98.6,90.0,top
C102,196.8,-98.6,90.0,top
C103,189.0,-90.4,270.0,top
C104,186.8,-90.4,270.0,top
C105,187.6,-107.5,0.0,top
C106,194.0,-120.92,180.0,top
C107,194.0,-119.4,180.0,top
C108,194.0,-117.9,180.0,top
C109,194.0,-116.400001,180.0,top
C11,204.3,-103.5,90.0,top
C110,189.35,-102.725,0.0,top
C111,187.2,-115.0,0.0,top
C112,190.95,-107.425,0.0,top
C12,219.08,-103.6,0.0,bottom
C13,219.5,-107.8,45.0,bottom
C14,216.9,-103.9,0.0,bottom
C15,219.08,-105.1,0.0,bottom
C16,219.1,-104.4,0.0,bottom
C17,221.2,-106.4,90.0,bottom
C18,216.9,-104.75,0.0,bottom
C19,219.0,-106.7,0.0,bottom
C2,232.0,-114.8,270.0,bottom
C20,219.0,-106.0,0.0,bottom
C21,222.2,-108.0,225.0,bottom
C22,219.1,-108.2,45.0,bottom
C23,218.6,-108.7,45.0,bottom
C24,214.076274,-108.823726,135.0,bottom
C25,211.85,-111.4,315.0,bottom
C26,213.1,-100.6,225.0,bottom
C27,211.1,-113.6,270.0,bottom
C28,211.9,-113.6,270.0,bottom
C3,229.5,-114.775,270.0,bottom
C30,235.05,-124.2,90.0,top
C31,199.2,-105.2,90.0,top
C32,211.473726,-111.026274,315.0,bottom
C33,216.8,-106.0,90.0,bottom
C34,215.7,-107.7,0.0,bottom
C35,215.2,-106.28,90.0,bottom
C36,214.0,-105.6,90.0,bottom
C37,216.9,-109.2,0.0,bottom
C38,215.78,-108.4,180.0,bottom
C39,216.8,-107.5,45.0,bottom
C4,231.975,-109.55,0.0,bottom
C40,217.873726,-107.573726,45.0,bottom
C41,217.5,-106.0,90.0,bottom
C42,196.8,-105.2,90.0,top
C43,200.4,-105.2,90.0,top
C44,198.0,-105.2,90.0,top
C45,211.4,-105.6,90.0,bottom
C46,210.6,-105.6,90.0,bottom
C47,212.210002,-105.7,90.0,bottom
C48,208.0,-105.7,90.0,bottom
C49,208.782842,-105.68,90.0,bottom
C5,236.5,-112.825,90.0,bottom
C50,213.01,-105.7,90.0,bottom
C51,221.29,-125.605,90.0,top
C52,222.89,-125.605,90.0,top
C53,224.49,-125.605,90.0,top
C54,226.1,-125.6,90.0,top
C55,222.29,-121.855,270.0,top
C56,229.66,-134.18,0.0,top
C57,229.59,-126.105,0.0,top
C58,229.59,-127.605,0.0,top
C59,233.365,-131.405,270.0,top
C6,238.0,-113.05,90.0,bottom
C60,227.0,-138.0,180.0,top
C61,200.7,-93.4,180.0,top
C62,203.7,-93.4,0.0,top
C63,215.15,-92.25,0.0,top
C64,212.15,-92.25,180.0,top
C65,188.1,-66.8,90.0,top
C66,196.2,-70.375,270.0,top
C67,199.54,-69.385,270.0,top
C68,197.79,-69.41,270.0,top
C69,189.1,-69.54,0.0,top
C7,212.2,-101.3,45.0,bottom
C70,207.2,-102.8,180.0,bottom
C71,193.5,-130.8,180.0,top
C72,190.0,-130.75,180.0,top
C73,197.25,-132.05,180.0,top
C8,209.5,-101.8,0.0,bottom
C89,215.5,-122.0,180.0,top
C9,211.4,-104.0,180.0,bottom
C90,220.3,-129.9,270.0,top
C91,204.4,-110.6,90.0,top
C92,201.9,-111.42,180.0,top
C93,201.9,-109.9,180.0,top
C94,198.275,-111.3,0.0,top
C95,218.725,-90.25,180.0,top
C96,218.725,-88.74,180.0,top
C97,220.075,-85.485,90.0,top
C98,209.3,-91.575,90.0,top
C99,210.3,-84.9,90.0,top
D1,238.0,-119.2,180.0,top
D10,202.95,-139.081,90.0,top
D11,202.95,-136.912,90.0,top
D12,199.15,-136.881,90.0,top
D13,199.15,-139.081,90.0,top
D2,192.6,-66.8,0.0,top
D3,225.8,-73.0,90.0,top
D4,185.781,-131.25,0.0,top
D5,196.7435,-84.65,0.0,top
D6,201.65,-136.856,90.0,top
D7,200.35,-136.881,90.0,top
D8,200.35,-139.056,90.0,top
D9,201.65,-139.056,90.0,top
